"","names","indirizzi","cap"
"2391","Colle Pizzuto S.r.l.","Via Macchia dello Sterparo 31 31",44
"2392","GEOPLAN 2012 SRL","Via Mameli  12",15
"2393","Subitocasa di Giovanna Riccardelli","Via delle Riguardate  8/B",40
"2394","GS Immobiliare di Silvestri Giorgio","via asmara 34",199
"2395","EMAKRI s.r.l.","via lucio mariani 66",178
"2396","REGIS COSTRUZIONI SRL unipersonale","VIA GUARENE 92",148
"2397","Extima immobiliare s.r.l","
",NA
"2398","CASE RE ","Via Lago Regillo  1",13
"2399","PROGE.COS. Srl","Vicolo Aldobrandini 19",42
"2400","c.sa.c.s.r.l.","via fernando colombo 8/10/12 42",154
"2401","Rachele Immobiliare srl","via cesare Pavese 250 250",144
"2402","GLF COSTRUZIONI SRL","VIA ZENONE DI CIZIO 7 7",125
"2403","MIRO SOCIETA' COOPERATIVA","Via Rocco de Zerbi snc",128
"2404"," Impresa Immobiliare Casalotti","Via Roma 1",0
"2405","Genera Advisory","Via Alberto Caroncini 45",197
"2406","Dott.ssa Cristina Camelo","VIA Filippo Carcano 13",147
"2407","pegaso engineering srl","Piazza Clemente Origo  6",127
"2408","immobiliare ALESSANDRA CIFELLI","via Antonio Fogazzaro 79",137
"2409","Gruppo Rossi","Viale Europa  314",144
"2410","Immobiliare Insugherata Srl","Via G. Arimondi 3",159
"2411","Trovacaseroma","Via Peccioli  18",139
"2412","FDS","Via Camerata Picena 350",138
"2413","Studio Immobiliare Mannocci","via Metauro   8/A",198
"2414","Studiocasa intermediazioni immobiliari di Agueci Luciano","Paiella  38",42
"2415","immobiliare bissolati srl","VIA FRANCESCO DENZA 9",197
"2416","Scardeletti Renato Cesare","Piazza Attilio Pelosi 9",15
"2417","IMMOBILIARE BIOCOSTRUZIONI SRL","VIA DEI CLUNIACENSI 83",159
"2418","Centrale servizi edilizia soc coop","Via Traversa di Via Assunta snc",42
"2419","Genius Immobiliare","Via  Eurialo 43 / B",181
"2420","Gennari Group","Via Appia Nuova  868",178
"2421","TM Estate SRL","Via degli Scipioni 252",192
"2422","S. Andrea Village S.R.L.","Via Aosta 50",182
"2423","Gioia Costruzioni","Largo Guido Buzzelli 10",127
"2424","SIMAP S.r.l.","Via O.Giustiniani 30",189
"2425","Immobilservice S.R.L.","Via Cristoforo Sabbadino  165",148
"2426","Carpedil 93 S.r.l.","Via Fabio Massimo 88",192
"2427","Antonio Simoncini","Piazza Gandhi 3",144
"2428","agenzia immobiliare","via trionfale 40",195
"2429","Calabrese Re","
",NA
"2430","Gabriele Casetta","--- 000",0
"2431","Gruppo Unica Re Agency filiale Roma 6","Via Giovanni Volpato 1",146
"2432","Cosmaia s.a.s.","Via di Monte Caminetto 13",60
"2433","RARUS REAL ESTATE ","via VELLETRI 65",31
"2434","SICA 2P S.r.l.","Via della Villa  102",60
"2435","SINTEC srl","Via Lago dei Tartari 37",12
"2436","Gelosi e Brandizi","Piazza Lotario 8",162
"2437","dfm costruzioni s.r.l.","via p.a.crevenna 25",135
"2438","Studio FG Immobiliare di Francesco Gambardella","Via appia pignatelli 0",178
"2439","PIN IMMOBILIARE di Tania Nicoletti","via poggio ameno 106",147
"2440","CASAPLAN","Via B. Croce  42",142
"2441","Mabad Srl","Via Rodolfo Lanciani 67",162
"2442","Sviluppo Immobiliare Le Terrazze srl","Via Eschilo 190",125
"2443","Riccio srl","piazza Sabazio  31",199
"2444","COBEFRA SRL","Via cinquefrondi 81",173
"2445","Massimina 2003","Via cinquefrondi 81",173
"2446","Tre T. s.r.l.","Piazza  P. Pantera  16",154
"2447","Novella immobiliare Srl","via Casilina  991/A",118
"2448","Metriquadri Network Immobiliare","Lungo Tevere delle navi 20",196
"2449","Pieffe s.r.l.","via angelo poliziano 16",13
"2450","sette immobiliare srl","via sestio calvino  81",174
"2451","Le Chat Immobiliare","Via Treviri 55",174
"2452","Europe Real Estate srl","Piazzale Flaminio 9",196
"2453","Nuklia","Via Tuscolana 2078",173
"2454","Paisiello 2005 s.r.l.","Via G. Paisiello 49",198
"2455","Vigna Clara Luxury","via della camilluccia 589/c",135
"2456","COGECOM SRL","Via Cardinale di York 2",164
"2457","Kish Srl","Via Guido mazzoni 40",162
"2458","MODE COSTRUZIONI S.r.l.","Vicolo di Prassede 29",19
"2459","AGENZIA IMMOBILIARE FBDOMUS ","VIA DEL GRANO 44",172
"2460","EDIL GERO SRL","Via dei Prati Fiscali 253",141
"2461","Impresa edile geometra Franco Saliola ","Via olivella  171/t",41
"2462","A.M. ","Via Cantello  42",135
"2463","Dimitrios Papaioannou Construction limited company","V. F. De Grenet 145",128
"2464","ROMA SAXA RUBRA","VIA DI QUARTO PEPERINO 22",188
"2465","Kappa srl","Corso trieste  88",198
"2466","immobilcom 2003 srl ","viale appio claudio  211",174
"2467","Impresa Macera","Via Licia 19",183
"2468","Affiliato Tecnocasa: BRAVETTA SRLS","VIA DI BRAVETTA 344/A",164
"2469","Associazione ANMIL ONLUS","Via Adolfo Ravà 124",142
"2470","AriannaImmobiliare","Via di Grotte Maria  18",44
"2471","GIELLE COSTRUZIONI s.r.l.","Piazza Cola di Rienzo 68",192
"2472","CasaPro di Sergio Baltera","
",NA
"2473","L.C.IMMOBILCARS di Claudio Laina''","VIA SANTO STEFANO QUISQUINA 23",133
"2474","Europa Gestioni Immobiliari S.p.A.","viale europa  175",144
"2475","SOGIS SPA","V.le Pasteur 56",144
"2476","Studio Legale Costa Priori","Mammucari 40/A",NA
"2477","ICAL Intercomunale Alto Lazio scerl","via enrico toti 4",53
"2478","CONIO Agency srl","Via Onorio 2",145
"2479","Grandi Progetti Immobiliari","Via Nomentana  696",10
"2480","Residenza Oliveto","C.so Giacomo Matteotti 153",41
"2481","Steficase","Viale Roma 52",43
"2482","CEMENTART SYSTEM SAS","VIA DINO MARRANI snc",53
"2483","KC Gestioni Immobiliari sas","via monte bove 37",65
"2484","Studio tecnico associato zenith","Via caio Cestio 19",12
"2485","FAP srl","via colonnelle 4",47
"2486","STUDIO IMMOBILIARE SALVATORI ","Via Alessandro Piola Caselli 124",122
"2487","Millennium","via Tuscolana 946",174
"2488","m e s immobiliare di mauri massenzio","via rosa govona  20",152
"2489","Agenzia Immobiliare Marco Rossi","Via Della Pisana  193",163
"2490","D'ERIKA IMMOBILIARE ","via gabi 8",182
"2491","Studio Petrini","Via Tiburtina  652/A",159
"2492","Tekton Immobiliare di Bellucci Daniele","Via del Fosso dell'Acqua Mariana 82d",118
"2493","Consorzio AIC","Via Meuccio Ruini 3",155
"2494","Finsole Spa ","Via E. Gianturco  4",196
"2495","SanPietro Immobiliare","cairoli 53",155
"2496","Investimenti Immobiliari ","Piazza Mancini 4",196
"2497","Stile.B Costruzioni srl","Fasana 21",195
"2498","Royal House Immobiliare","",NA
"2499","ClickBook srl","Viale Regina Margherita 269",198
"2500","COLDWELLBANKERS ITALY","VIA SARDEGNA  50",187
"2501","imparato emanuele","Circonvallazione ostiense 65",154
"2502","WONDERHOME Luxury Agency","via della Fontanella di Borghese 0",186
"2503","Interstudio srl","Via Monte Santo 68",195
"2504","Desiree","via della castella 00",100
"2505","Barberini67 Immobiliare","Via Barberini 67",187
"2506","PINETINA IMMOBILIARE SRL","Viale degli Ammiragli 64",136
"2507","CE.BA.srl ","via Giulio Pittarelli  169",166
"2508","Affiliato: IMMOBILIARE CENTOCELLE S.R.L.","VIA DELLE ALBIZZIE 23",172
"2509","ProgressoImmobili srl","Via Nosate 64",166
"2510","EGO LUXURY HOME","Viale Delle Milizie 4",192
"2511","edil fonte srl","via g. baccelli  7",19
"2512","EDILCOCEPA","Viale Ungheria  81-A ",39
